NIRF_Rank,Institute,Placements_rating,Infrastructure_rating,Faculty_Course_Curriculum_rating,Crowd_Campus_Life_rating,Value_for_Money_rating,Learning_Experience_rating,Total_Reviews,Fees,Salary,Courses
82,"National Institute of Technology , Agartala4.",3.9,4.3,3.8,4.3,4.1,0.0,322.0,₹ 5.00 Lakh36India Today ,,B.Tech
83,SKCET - Sri Krishna College of Engineering and Technology4.,4.2,4.4,4.1,4.4,4.0,0.0,185.0,₹ 2.00 LakhSalary ,₹ 6.00 Lakh 140India Today ,B.Tech
84,Madan Mohan Malviya University of Technology3.,3.5,3.7,3.8,4.0,3.9,0.0,495.0,₹ 6.00 LakhNot RankedIndia Today ,,B.Tech
85,"Indraprastha Institute of Information Technology , Delhi4.",4.5,4.7,4.6,4.4,4.1,5.0,145.0,₹ 19.55 LakhSalary ,₹ 18.50 Lakh 15India Today ,B.Tech
86,Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology4.,3.9,4.1,4.0,4.1,4.1,0.0,496.0,₹ 10.00 Lakh90India Today ,,B.Tech
87,IIIT Allahabad - Indian Institute of Information Technology4.,4.7,4.4,4.0,4.2,4.5,0.0,240.0,₹ 6.48 LakhSalary ,₹ 30.00 Lakh 11India Today ,B.Tech
89,Guru Gobind Singh Indraprastha University3.,3.4,4.1,3.9,4.0,4.0,0.0,544.0,₹ 4.20 LakhNot RankedIndia Today ,,B.Tech
90,"Andhra University College of Engineering , Andhra University, Visakhapatnam4.",3.7,3.8,4.0,4.3,4.2,0.0,366.0,₹ 1.78 LakhSalary ,₹ 5.88 Lakh Not RankedIndia Today ,B.Tech
91,"Vignan's Foundation for Science, Technology and Research4.",3.9,4.1,4.1,4.3,3.9,0.0,800.0,₹ 14.40 LakhSalary ,₹ 6.96 Lakh 133India Today ,B.Tech
92,Shoolini University4.,4.0,4.5,4.4,4.5,4.1,4.5,553.0,₹ 10.40 LakhNot RankedIndia Today ,,B.Tech
93,Christ - Kengeri Campus4.,3.3,4.5,4.1,4.2,3.8,0.0,118.0,₹ 8.76 LakhSalary ,₹ 5.16 Lakh 73India Today ,B.Tech
94,"Chitkara University, Chandigarh4.",4.4,4.5,4.4,4.5,4.3,0.0,1354.0,₹ 7.20 LakhSalary ,₹ 8.50 Lakh Not RankedIndia Today ,B.Tech
95,"Jain Deemed-to-be University, Bangalore3.",3.9,3.9,4.1,4.1,3.7,4.2,566.0,₹ 7.80 LakhSalary ,₹ 7.78 Lakh Not RankedIndia Today ,B.Tech
96,C. V. Raman Global University4.,3.8,4.1,4.0,4.1,3.8,0.0,510.0,₹ 9.00 LakhSalary ,₹ 5.20 Lakh Not RankedIndia Today ,B.Tech
97,NIT Puducherry - National Institute of Technology3.,3.6,3.3,3.6,2.9,3.5,0.0,56.0,₹ 5.00 LakhSalary ,₹ 9.00 Lakh 49India Today ,B.Tech
98,SR University4.,3.8,4.2,4.1,4.2,3.8,0.0,221.0,₹ 4.37 LakhSalary ,₹ 10.00 Lakh Not RankedIndia Today ,B.Tech
99,R.V. College of Engineering4.,4.5,4.0,4.0,4.2,4.2,0.0,402.0,₹ 1.28 LakhSalary ,₹ 10.00 Lakh 27India Today ,B.Tech
100,Siddaganga Institute of Technology4.,4.0,4.1,3.9,4.0,3.9,0.0,318.0,₹ 3.86 LakhSalary ,₹ 8.00 Lakh Not RankedIndia Today ,B.Tech
150,"Amity University, Kolkata4.",3.4,4.5,4.2,4.4,3.7,0.0,194.0,₹ 8.56 LakhNot RankedIndia Today ,,B.Tech
150,"Amity University, Gurugram4.",4.1,4.6,4.4,4.4,4.1,0.0,476.0,₹ 12.60 LakhSalary ,₹ 3.60 Lakh 95India Today ,B.Tech
150,"Amity University, Jaipur4.",3.7,4.5,4.0,4.4,3.8,4.5,339.0,₹ 12.72 LakhSalary ,₹ 6.00 Lakh 113India Today ,B.Tech
150,Atal Bihari Vajpayee Indian Institute of Information Technology and Management3.,4.0,4.1,3.5,4.0,4.0,0.0,111.0,₹ 7.90 LakhNot RankedIndia Today ,,B.Tech
150,"Chandigarh Group of Colleges, Landran4.",4.3,4.2,4.1,4.4,4.2,0.0,1561.0,₹ 6.58 LakhNot RankedIndia Today ,,B.Tech
150,Chennai Institute of Technology4.,4.6,4.1,4.4,4.3,4.4,0.0,205.0,₹ 2.00 LakhNot RankedIndia Today ,,B.Tech
150,Coimbatore Institute of Technology4.,4.2,3.5,4.1,4.2,4.3,0.0,140.0,₹ 1.04 LakhSalary ,₹ 5.78 Lakh Not RankedIndia Today ,B.Tech
150,"College of Engineering, Trivandrum4.",4.3,4.3,4.1,4.7,4.7,0.0,209.0,"₹ 34,600Not RankedIndia Today ",,B.Tech
150,MIT-WPU4.,3.8,4.2,4.0,4.3,3.7,0.0,689.0,₹ 14.80 LakhSalary ,₹ 6.00 Lakh 66India Today ,B.Tech
150,Galgotias University4.,3.9,4.0,4.1,4.1,3.9,0.0,2064.0,₹ 6.16 LakhNot RankedIndia Today ,,B.Tech
